날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"2022-01-01",184,4.9,0.9,8.9
"2022-01-02",184,7.2,4.2,11.4
"2022-01-03",184,6,2.5,10.7
"2022-01-04",184,6.8,4.8,9.3
"2022-01-05",184,5.8,3.3,6.8
"2022-01-06",184,7.3,5.3,10.1
"2022-01-07",184,5.6,2.2,10.4
"2022-01-08",184,6.6,3.5,8.3
"2022-01-09",184,7.7,5.2,9.6
"2022-01-10",184,7.6,5.5,10.3
"2022-01-11",184,3.6,1.3,7.7
"2022-01-12",184,3.8,1.6,5.5
"2022-01-13",184,4,3.1,6.2
"2022-01-14",184,4.3,3,7.6
"2022-01-15",184,7.4,3.8,11.5
"2022-01-16",184,7,3.9,9.5
"2022-01-17",184,5.5,3.8,7.2
"2022-01-18",184,3.8,1.4,7
"2022-01-19",184,5.3,0.7,10.4
"2022-01-20",184,2.9,0.8,5.9
"2022-01-21",184,6,0.3,10.7
"2022-01-22",184,10.6,7.2,14.4
"2022-01-23",184,10.5,9.4,12.2
"2022-01-24",184,10.3,9,12.4
"2022-01-25",184,8.8,7.5,9.5
"2022-01-26",184,7.5,6.5,9.6
"2022-01-27",184,5.9,4.7,7.5
"2022-01-28",184,5.2,4.2,7.9
"2022-01-29",184,4.6,4,6.6
"2022-01-30",184,4.8,3.5,7.9
"2022-01-31",184,5.9,3.4,9.1
"2022-02-01",184,6.3,4.3,8.4
"2022-02-02",184,5,3.7,7.5
"2022-02-03",184,5,3.2,8.3
"2022-02-04",184,4.4,1.9,7.3
"2022-02-05",184,3.6,1.9,4.6
"2022-02-06",184,4.5,2.3,7.2
"2022-02-07",184,4.4,3,6.6
"2022-02-08",184,5.4,2.6,8.9
"2022-02-09",184,5.9,1.6,9.9
"2022-02-10",184,6.9,4.9,9.8
"2022-02-11",184,7.5,2.8,11.4
"2022-02-12",184,10,7.6,12.6
"2022-02-13",184,10.1,8.1,11.9
"2022-02-14",184,9.3,7.3,13.7
"2022-02-15",184,3.9,1.9,7.5
"2022-02-16",184,2.3,0.8,4.3
"2022-02-17",184,1.1,0.2,2.6
"2022-02-18",184,6,0.2,11.1
"2022-02-19",184,5.2,2.9,6.9
"2022-02-20",184,1.8,0,3.4
"2022-02-21",184,5,2.2,8
"2022-02-22",184,4.4,3.1,7.1
"2022-02-23",184,1.9,0.6,4.1
"2022-02-24",184,3.4,0.5,6.7
"2022-02-25",184,6.6,2.9,11.7
"2022-02-26",184,9.8,3.6,16.2
"2022-02-27",184,7.4,4.2,11.6
"2022-02-28",184,8.7,3.1,13.2
"2022-03-01",184,10.1,6.4,13.6
"2022-03-02",184,6.4,4.8,8.9
"2022-03-03",184,10,5,14.7
"2022-03-04",184,12.6,7,16.6
"2022-03-05",184,8.9,5.6,14.8
"2022-03-06",184,6.4,4.5,10
"2022-03-07",184,7.5,4.6,11.5
"2022-03-08",184,9.5,5,14.1
"2022-03-09",184,11,7.5,15.1
"2022-03-10",184,12.5,6.5,17.7
"2022-03-11",184,16.5,12.3,21.4
"2022-03-12",184,17,12.9,22.3
"2022-03-13",184,17.7,13.9,20.3
"2022-03-14",184,13.8,9.6,17.1
"2022-03-15",184,10.4,6.3,14.5
"2022-03-16",184,13.7,9,18.4
"2022-03-17",184,13.4,11.3,17.2
"2022-03-18",184,10.3,8.9,11.8
"2022-03-19",184,7.7,6.3,9.4
"2022-03-20",184,7.9,6.6,10.2
"2022-03-21",184,9.3,6.4,12.2
"2022-03-22",184,9.4,7.1,12.5
"2022-03-23",184,9,6.6,12.8
"2022-03-24",184,11.2,5.3,15.4
"2022-03-25",184,16.4,9.3,21.1
"2022-03-26",184,12.1,9,21.4
"2022-03-27",184,12.7,8.5,18.5
"2022-03-28",184,10.8,7.3,14.5
"2022-03-29",184,13.1,8.7,16.9
"2022-03-30",184,15.4,11.5,19.8
"2022-03-31",184,11.5,9.5,14.4
"2022-04-01",184,11.9,9.3,14.6
"2022-04-02",184,10.8,7.9,14.7
"2022-04-03",184,10.4,5.6,14.8
"2022-04-04",184,11.9,6.8,16.7
"2022-04-05",184,13,7.9,17.8
"2022-04-06",184,13.7,9.8,17.7
"2022-04-07",184,13.1,10.1,19.4
"2022-04-08",184,15.1,9.7,19.9
"2022-04-09",184,17.2,12.5,21.7
"2022-04-10",184,17.4,12.4,21.1
"2022-04-11",184,19.8,16.5,25.3
"2022-04-12",184,18.8,15.5,23.3
"2022-04-13",184,17.9,14.5,22.9
"2022-04-14",184,14.1,12.8,14.6
"2022-04-15",184,14,11.6,17.6
"2022-04-16",184,13.6,10.6,17.3
"2022-04-17",184,14.3,9.6,18.9
"2022-04-18",184,15.1,12.1,18.2
"2022-04-19",184,15.6,12.3,19.5
"2022-04-20",184,15.7,11.3,19.9
"2022-04-21",184,14.7,12.8,18.1
"2022-04-22",184,17.2,11.8,22.9
"2022-04-23",184,18,16.2,21.5
"2022-04-24",184,17.7,15.4,21.5
"2022-04-25",184,21.2,14.6,26.7
"2022-04-26",184,19.3,14.5,24.3
"2022-04-27",184,17.1,14,22.3
"2022-04-28",184,17.5,14.5,20.3
"2022-04-29",184,13.6,11.7,17.6
"2022-04-30",184,15.1,13.3,17.8
"2022-05-01",184,14.8,12.2,18.3
"2022-05-02",184,16.7,13.2,20.3
"2022-05-03",184,14.8,9.5,18.8
"2022-05-04",184,16.6,11.3,20.7
"2022-05-05",184,20.7,13.2,27.5
"2022-05-06",184,20.5,16.5,24.6
"2022-05-07",184,19.3,15.9,23.6
"2022-05-08",184,18.5,14.7,22.4
"2022-05-09",184,17.6,15.7,19.8
"2022-05-10",184,17.8,15.3,19.9
"2022-05-11",184,18.7,17.6,20.8
"2022-05-12",184,19.1,17.3,22.2
"2022-05-13",184,16.9,14.8,18.8
"2022-05-14",184,16.6,13.2,21.3
"2022-05-15",184,16.3,14.4,19.7
"2022-05-16",184,18,13.4,22
"2022-05-17",184,21,14.7,26.5
"2022-05-18",184,21.6,16.7,25.8
"2022-05-19",184,20.6,17.7,23.7
"2022-05-20",184,20.9,18.3,23.3
"2022-05-21",184,20.4,16.3,24.9
"2022-05-22",184,21.4,15.1,26.2
"2022-05-23",184,22.4,19.8,26.6
"2022-05-24",184,21.5,18,25.1
"2022-05-25",184,21.2,18.2,24.7
"2022-05-26",184,19.5,17.3,22.7
"2022-05-27",184,23.2,16.5,29
"2022-05-28",184,21.9,19.3,24.8
"2022-05-29",184,21.1,18,24
"2022-05-30",184,20.3,18.8,23.3
"2022-05-31",184,20.9,17.6,24.7
"2022-06-01",184,21,18.2,24.9
"2022-06-02",184,21.7,17.8,25.5
"2022-06-03",184,21.2,18.6,23.5
"2022-06-04",184,23.5,19.8,26.6
"2022-06-05",184,19.1,17.3,23
"2022-06-06",184,20.3,17.9,24.1
"2022-06-07",184,20.7,17.9,25.6
"2022-06-08",184,21.4,18.9,25.3
"2022-06-09",184,21.4,18.6,25.5
"2022-06-10",184,23,18.2,27.4
"2022-06-11",184,21.6,20,24.1
"2022-06-12",184,22,19.5,25.9
"2022-06-13",184,20.6,19.4,22.2
"2022-06-14",184,19,18.7,19.6
"2022-06-15",184,23,17.9,29
"2022-06-16",184,22.3,19.4,25.7
"2022-06-17",184,22.5,20.2,26
"2022-06-18",184,23.9,21.7,26.9
"2022-06-19",184,25.1,21.5,30.5
"2022-06-20",184,23.7,21.3,27.4
"2022-06-21",184,24,21.5,27.3
"2022-06-22",184,23.7,20.7,26.8
"2022-06-23",184,28.7,23,33.4
"2022-06-24",184,26.1,23.8,29.5
"2022-06-25",184,27.4,23.8,32.3
"2022-06-26",184,30,25.3,34.4
"2022-06-27",184,30.5,27.8,33.1
"2022-06-28",184,30.5,28.9,33.3
"2022-06-29",184,30.2,27.8,33.9
"2022-06-30",184,28.7,26.4,32.1
"2022-07-01",184,28.3,25.5,32.4
"2022-07-02",184,27.6,24.5,30.7
"2022-07-03",184,28.6,25.6,33.1
"2022-07-04",184,28,26.1,31.2
"2022-07-05",184,28.2,25.6,30.9
"2022-07-06",184,30.3,26.9,33.9
"2022-07-07",184,31.8,28.6,35.9
"2022-07-08",184,29.5,27.5,32.8
"2022-07-09",184,28.7,26.2,32.1
"2022-07-10",184,28.6,25.6,32.5
"2022-07-11",184,27.9,24.9,31.6
"2022-07-12",184,29.3,26.6,32.6
"2022-07-13",184,29.4,27,33.1
"2022-07-14",184,28.8,26.6,33.2
"2022-07-15",184,26.8,25.2,29.5
"2022-07-16",184,27.2,23.2,31.1
"2022-07-17",184,28,26.3,31.3
"2022-07-18",184,29.1,26.8,32.6
"2022-07-19",184,27.8,25.2,30.8
"2022-07-20",184,27.4,24.6,30.1
"2022-07-21",184,27.7,25,31.7
"2022-07-22",184,27.2,24.6,30.5
"2022-07-23",184,28.3,25.5,31.1
"2022-07-24",184,27.4,25,29.8
"2022-07-25",184,26.9,24.1,30
"2022-07-26",184,27.6,23.3,32.7
"2022-07-27",184,28.9,25.3,33.4
"2022-07-28",184,30.3,26.5,36
"2022-07-29",184,28.9,26.8,32.1
"2022-07-30",184,27.2,26.3,28.1
"2022-07-31",184,28,26.3,30.4
"2022-08-01",184,29.3,27,30.8
"2022-08-02",184,29.7,27.4,33.5
"2022-08-03",184,29.8,27.5,32.9
"2022-08-04",184,30.6,27.1,33.7
"2022-08-05",184,31.3,27.8,35.7
"2022-08-06",184,30.9,28,33.8
"2022-08-07",184,31.4,28.8,34.6
"2022-08-08",184,31.7,28.5,36.5
"2022-08-09",184,31.1,27.2,36
"2022-08-10",184,31.5,28.3,37.5
"2022-08-11",184,31.6,28.3,35.8
"2022-08-12",184,30.2,27,33.8
"2022-08-13",184,31.1,27.7,34.5
"2022-08-14",184,31.1,28.1,35.9
"2022-08-15",184,32.2,28.2,36.7
"2022-08-16",184,31,27.5,34.1
"2022-08-17",184,26.8,25.2,28.4
"2022-08-18",184,27.5,24.1,30.6
"2022-08-19",184,30.9,26.7,35.4
"2022-08-20",184,29.3,27.4,32.6
"2022-08-21",184,27.9,26,30.8
"2022-08-22",184,28.3,24.9,31.4
"2022-08-23",184,29.8,25.8,33.4
"2022-08-24",184,27.1,23.6,31
"2022-08-25",184,26.8,22.8,30.7
"2022-08-26",184,26.3,24.9,29.2
"2022-08-27",184,26.1,22.7,30.4
"2022-08-28",184,24.4,21.2,28.4
"2022-08-29",184,25.9,22.7,28
"2022-08-30",184,28.2,24.3,32.7
"2022-08-31",184,25.9,24.4,29.1
"2022-09-01",184,24.8,24,25.9
"2022-09-02",184,23.2,21.9,25
"2022-09-03",184,25.9,23.6,29.3
"2022-09-04",184,26.4,24,30.2
"2022-09-05",184,26.5,25.7,27.4
"2022-09-06",184,23.4,21,26.6
"2022-09-07",184,24.2,18.7,28.9
"2022-09-08",184,24.3,20.5,27.6
"2022-09-09",184,24.4,22.1,27.6
"2022-09-10",184,23.9,22.2,27.4
"2022-09-11",184,24.7,23,27.6
"2022-09-12",184,24.5,23.9,24.9
"2022-09-13",184,24.4,23.8,25
"2022-09-14",184,24.8,24.4,25.2
"2022-09-15",184,25.3,24.7,26.9
"2022-09-16",184,28.7,25.4,32.8
"2022-09-17",184,26.4,24.9,28.6
"2022-09-18",184,27.1,25.2,30.5
"2022-09-19",184,25.1,22,27.9
"2022-09-20",184,22.9,21.4,25.3
"2022-09-21",184,22,20.1,24.8
"2022-09-22",184,22.2,20.1,25.2
"2022-09-23",184,22.4,19.4,26.8
"2022-09-24",184,21.4,19,24.4
"2022-09-25",184,22.4,20.2,25.4
"2022-09-26",184,22.7,20.6,26.4
"2022-09-27",184,22.7,19.5,25.8
"2022-09-28",184,23.2,21.1,26.1
"2022-09-29",184,22.4,18.3,26.7
"2022-09-30",184,21.7,17.2,26.2
"2022-10-01",184,22.8,17.7,26.8
