날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"2022-01-01",159,1.9,-3.9,7.4
"2022-01-02",159,4.8,0.7,11.1
"2022-01-03",159,4.1,0.7,9.9
"2022-01-04",159,4.5,0.4,9.5
"2022-01-05",159,5.4,1.5,9.7
"2022-01-06",159,6.1,3,11.3
"2022-01-07",159,5.8,0.8,10.6
"2022-01-08",159,5.7,2.5,11.8
"2022-01-09",159,5.9,3.1,10
"2022-01-10",159,7.4,3.4,12.4
"2022-01-11",159,1.5,-3.3,6.7
"2022-01-12",159,-1.3,-5.3,3.5
"2022-01-13",159,-1.1,-3.8,2.8
"2022-01-14",159,-0.2,-6.1,5.9
"2022-01-15",159,4.8,0.9,10
"2022-01-16",159,4.8,-0.6,10.6
"2022-01-17",159,1.1,-2.6,5.9
"2022-01-18",159,-0.1,-4.4,5.3
"2022-01-19",159,2.1,-2.1,7
"2022-01-20",159,1.5,-3.3,8.1
"2022-01-21",159,3.9,-1,9.8
"2022-01-22",159,6.7,1.8,13.2
"2022-01-23",159,8.7,6,12.8
"2022-01-24",159,5.7,3.6,7.9
"2022-01-25",159,6.7,3.8,10.9
"2022-01-26",159,5.5,2,10.1
"2022-01-27",159,6.3,2.8,11.9
"2022-01-28",159,4.7,0.5,10.1
"2022-01-29",159,3.3,1.1,7.7
"2022-01-30",159,3.2,-1.2,9.6
"2022-01-31",159,3.6,-1.4,10.2
"2022-02-01",159,3.3,0.1,7.8
"2022-02-02",159,1.7,-1.6,5.8
"2022-02-03",159,2.1,-1.7,7.2
"2022-02-04",159,1.3,-2,7.3
"2022-02-05",159,-1.2,-4,3.4
"2022-02-06",159,0.2,-4.6,6.8
"2022-02-07",159,1.6,-2.6,6.3
"2022-02-08",159,3.6,-0.4,8.8
"2022-02-09",159,6.6,1.7,11.6
"2022-02-10",159,7.6,4.9,13
"2022-02-11",159,6.7,2,12.3
"2022-02-12",159,8.5,5.1,14.2
"2022-02-13",159,8.9,6.5,14.5
"2022-02-14",159,9,6.1,13.7
"2022-02-15",159,2.6,-2.6,7.8
"2022-02-16",159,-1.7,-4.5,3.8
"2022-02-17",159,-2.4,-7.5,3.3
"2022-02-18",159,4,-2.5,9.7
"2022-02-19",159,5.2,2.2,8.7
"2022-02-20",159,-0.6,-3.8,3.8
"2022-02-21",159,1.4,-4.7,5.9
"2022-02-22",159,1.2,-2.3,5.3
"2022-02-23",159,0,-2.5,5.4
"2022-02-24",159,1.6,-4.5,8.4
