날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"2022-01-01",133,-4.4,-10,2.3
"2022-01-02",133,-1.2,-6.2,6.3
"2022-01-03",133,-1.7,-7.9,4.2
"2022-01-04",133,0.1,-4.2,5.4
"2022-01-05",133,-1.4,-5.7,2.6
"2022-01-06",133,-0.7,-5.4,6.2
"2022-01-07",133,-1.5,-7.5,6.9
"2022-01-08",133,0.7,-7,7.1
"2022-01-09",133,2.5,-1.9,8
"2022-01-10",133,0.7,-4.6,7
"2022-01-11",133,-3.8,-7.3,0.7
"2022-01-12",133,-5.1,-10.8,1.6
"2022-01-13",133,-4.5,-6.8,-0.3
"2022-01-14",133,-4,-10.4,3.5
"2022-01-15",133,0.6,-6.2,6.3
"2022-01-16",133,0.7,-4.3,4.2
"2022-01-17",133,-3.1,-7.2,2.3
"2022-01-18",133,-4.4,-9.7,2.6
"2022-01-19",133,-3.2,-9.5,4.1
"2022-01-20",133,-4,-9.4,3.2
"2022-01-21",133,-1.9,-9.1,6.8
"2022-01-22",133,3.6,-2.8,9.3
"2022-01-23",133,4.6,0.5,10.2
"2022-01-24",133,4.1,-2.4,9.9
"2022-01-25",133,3.4,1.3,4.8
"2022-01-26",133,2.7,-0.5,6.6
"2022-01-27",133,0.3,-3.4,6.5
"2022-01-28",133,-1,-5.1,5.2
"2022-01-29",133,-2,-5.9,4.6
"2022-01-30",133,-2,-7.1,4.7
"2022-01-31",133,-0.5,-7.6,7.2
"2022-02-01",133,0.4,-0.9,2.2
"2022-02-02",133,-0.2,-3.9,4
"2022-02-03",133,-1.7,-5.2,4.3
"2022-02-04",133,-2.4,-5,2.6
"2022-02-05",133,-4.9,-9.1,0.2
"2022-02-06",133,-3,-8.6,2.9
"2022-02-07",133,-2.1,-7.5,2.7
"2022-02-08",133,-0.1,-5.7,7
"2022-02-09",133,1.5,-6,8.9
"2022-02-10",133,2.9,-1.3,9.4
"2022-02-11",133,2.8,-4.7,10.7
"2022-02-12",133,4.3,-1.9,12.5
"2022-02-13",133,5,-0.4,11.7
"2022-02-14",133,4.1,-2,12.3
"2022-02-15",133,-2.3,-6.1,1
"2022-02-16",133,-5.6,-8.7,-1.7
"2022-02-17",133,-5.5,-10.6,0.4
"2022-02-18",133,-0.9,-9.5,8.1
"2022-02-19",133,0.5,-3.4,5.2
"2022-02-20",133,-3.2,-6.6,1.3
"2022-02-21",133,-0.7,-7.5,5.5
"2022-02-22",133,-2.2,-7.1,3
"2022-02-23",133,-4.1,-8.6,2.5
"2022-02-24",133,-1.6,-9.3,5.9
"2022-02-25",133,2.9,-5.2,10.1
"2022-02-26",133,6.8,2,12.7
"2022-02-27",133,5,-1.3,12.2
"2022-02-28",133,6.9,-1.1,14.1
"2022-03-01",133,6.7,1.2,12.7
"2022-03-02",133,3.8,-2.9,11.6
"2022-03-03",133,7,-0.5,14.6
"2022-03-04",133,8.6,-0.3,16.8
"2022-03-05",133,3.9,-0.7,9
"2022-03-06",133,2.2,-2.9,9.6
"2022-03-07",133,4.3,-2.9,12.1
"2022-03-08",133,6.1,-2.1,15.3
"2022-03-09",133,7.8,-0.3,16.7
"2022-03-10",133,9.6,0.9,18.3
"2022-03-11",133,11,3.8,17.6
"2022-03-12",133,15.3,9,21.6
"2022-03-13",133,14.4,13,16.7
"2022-03-14",133,11.3,6,15.5
"2022-03-15",133,9.4,3.5,16.3
"2022-03-16",133,11.3,3.1,19.4
"2022-03-17",133,9.1,6.4,11.1
"2022-03-18",133,6.4,5,8.5
"2022-03-19",133,4.1,2.9,6.2
"2022-03-20",133,5.1,2,10.4
"2022-03-21",133,5.8,-1.1,12.4
"2022-03-22",133,6.9,1,13.6
"2022-03-23",133,5.8,3.1,9.6
"2022-03-24",133,8.7,1.2,15.6
"2022-03-25",133,12.6,5.3,19
"2022-03-26",133,11,7.9,14.7
"2022-03-27",133,8.4,2.9,16.6
"2022-03-28",133,7.7,-0.5,16.1
"2022-03-29",133,10.7,1.6,18.9
"2022-03-30",133,12.4,4.8,18.3
"2022-03-31",133,11.4,8,15
"2022-04-01",133,9.7,4.3,15.9
"2022-04-02",133,8.1,1.4,15.7
"2022-04-03",133,9.6,1.1,17.9
"2022-04-04",133,10.8,2.7,19.7
"2022-04-05",133,10.3,2.7,17.8
"2022-04-06",133,12.5,5,20.9
"2022-04-07",133,11.9,7.6,18.9
"2022-04-08",133,13.9,3.2,23
"2022-04-09",133,18.2,9.8,25.9
"2022-04-10",133,18.6,10,27.6
"2022-04-11",133,20.6,12.1,28.3
"2022-04-12",133,20.7,14.8,27.2
"2022-04-13",133,14,9.1,17.9
"2022-04-14",133,10.7,8.7,14.1
"2022-04-15",133,12.6,6.4,19.5
"2022-04-16",133,13.1,6.1,20.5
"2022-04-17",133,13.9,4.7,22.5
"2022-04-18",133,15,9.2,23.3
"2022-04-19",133,15.7,7.1,24.7
"2022-04-20",133,15.2,6.3,23
"2022-04-21",133,14.6,7.5,21.3
"2022-04-22",133,16.7,10.8,23.6
"2022-04-23",133,18.9,12.7,26.1
"2022-04-24",133,19.7,14.1,26.9
"2022-04-25",133,20.1,15,26.1
"2022-04-26",133,18.8,15.9,24.1
"2022-04-27",133,17.2,10.4,24.2
"2022-04-28",133,17.8,10.4,26.4
"2022-04-29",133,13.1,9.3,16.5
"2022-04-30",133,13.7,10,18.1
"2022-05-01",133,13.4,6.9,20.1
"2022-05-02",133,13.9,8.5,20.1
"2022-05-03",133,14.1,5.5,21.4
"2022-05-04",133,16.7,7.4,25
"2022-05-05",133,18.5,8.9,26.7
"2022-05-06",133,19.6,11.9,28.3
"2022-05-07",133,18.3,13,24.8
"2022-05-08",133,17.1,11.5,23.7
"2022-05-09",133,17.3,10.6,23.7
"2022-05-10",133,19.2,11.5,26.3
"2022-05-11",133,20,14.8,26.1
"2022-05-12",133,21,15.2,28.3
"2022-05-13",133,19,15.1,22.1
"2022-05-14",133,15.7,10.1,22.8
"2022-05-15",133,15.5,8.9,22.2
"2022-05-16",133,16.6,7.4,24.6
"2022-05-17",133,20.4,10.9,28.4
"2022-05-18",133,22.4,16.7,28.4
"2022-05-19",133,20.7,16.9,25.8
"2022-05-20",133,20.7,13.8,28.1
"2022-05-21",133,20.8,14.2,28.7
"2022-05-22",133,21.1,15.6,27.8
"2022-05-23",133,22.6,15.9,30.3
"2022-05-24",133,23.1,14.9,31.4
"2022-05-25",133,22.3,15.6,29.6
"2022-05-26",133,19.4,13.6,26.1
"2022-05-27",133,21.5,15.8,28.5
"2022-05-28",133,23.1,16.5,29.9
"2022-05-29",133,23.4,15,31.6
"2022-05-30",133,21.4,18.1,25.4
"2022-05-31",133,21.4,13,28.7
"2022-06-01",133,23.2,15,31.8
"2022-06-02",133,22.5,14.5,29.7
"2022-06-03",133,24.8,17.6,33.1
"2022-06-04",133,25.1,18.8,30.6
"2022-06-05",133,18.6,16.9,24.7
"2022-06-06",133,19.4,16.6,23.7
"2022-06-07",133,17.3,14.8,20.5
"2022-06-08",133,20.7,15.4,27.9
"2022-06-09",133,22.4,18.5,27.7
"2022-06-10",133,23.6,17.1,30.1
"2022-06-11",133,24.3,19,31.5
"2022-06-12",133,24.3,19.3,29.6
"2022-06-13",133,23.1,19.7,27.8
"2022-06-14",133,17.9,15.9,20.7
"2022-06-15",133,19.8,15.4,26.2
"2022-06-16",133,22,18.8,27.7
"2022-06-17",133,23.4,17.1,29.5
"2022-06-18",133,25.2,21.7,29.6
"2022-06-19",133,25.1,21.6,29.2
"2022-06-20",133,26.8,22.2,33
"2022-06-21",133,28.1,21.9,35.7
"2022-06-22",133,27.5,22.1,33.9
"2022-06-23",133,25.1,22.8,29.9
"2022-06-24",133,25,23.1,29.1
"2022-06-25",133,27.8,22.8,32.9
"2022-06-26",133,27.4,24.9,31.1
"2022-06-27",133,28,25.3,31.1
"2022-06-28",133,29.4,27.4,32
"2022-06-29",133,26.7,23.9,29.8
"2022-06-30",133,27.2,24.5,31.6
"2022-07-01",133,28.6,22.6,34.5
"2022-07-02",133,29.6,23.6,35.3
"2022-07-03",133,28.1,23.2,34.7
"2022-07-04",133,27.6,23.4,33.5
"2022-07-05",133,28.2,24.6,33.7
"2022-07-06",133,30.1,25.5,35.4
"2022-07-07",133,29.5,26.3,34.1
"2022-07-08",133,27.6,24.4,31.9
"2022-07-09",133,26.5,23.2,30
"2022-07-10",133,28.7,24,35.1
"2022-07-11",133,25.1,23.1,28.2
"2022-07-12",133,27,23.1,30.4
"2022-07-13",133,24.8,23.8,26.4
"2022-07-14",133,26,24,30
"2022-07-15",133,26.1,22,31.5
"2022-07-16",133,26.2,22.5,31.4
"2022-07-17",133,26,21.7,30.9
"2022-07-18",133,22.3,21.1,25.5
"2022-07-19",133,25,20.9,30.3
"2022-07-20",133,27.6,22.9,32.7
"2022-07-21",133,23.8,22.7,26.3
"2022-07-22",133,25.7,22.1,30.5
"2022-07-23",133,24.8,21.6,29.1
"2022-07-24",133,24.7,22.1,27.4
"2022-07-25",133,27.2,23.5,32.6
"2022-07-26",133,28.4,22.9,34.2
"2022-07-27",133,27.6,24.5,31.8
"2022-07-28",133,28.2,23.3,33.3
"2022-07-29",133,30.3,25.3,35
"2022-07-30",133,28.8,26.3,32.5
"2022-07-31",133,25.9,24.7,27.8
"2022-08-01",133,27.6,24.6,32.3
"2022-08-02",133,27.9,25.4,31.7
"2022-08-03",133,29.3,26.5,33.4
"2022-08-04",133,29.2,25.5,34.1
"2022-08-05",133,28.7,25.7,33.3
"2022-08-06",133,29.9,26,34.3
"2022-08-07",133,29.9,27,34.3
"2022-08-08",133,28.6,27.7,29.8
"2022-08-09",133,28,25.1,31.4
"2022-08-10",133,25.3,23.9,28.1
"2022-08-11",133,24.4,24,26.2
"2022-08-12",133,27.3,23.5,32.7
"2022-08-13",133,26,24,29.5
"2022-08-14",133,26.7,24.1,30.4
"2022-08-15",133,28.1,25.4,31.3
"2022-08-16",133,25.8,23.3,30
"2022-08-17",133,25.6,22.6,30.4
"2022-08-18",133,25.1,20.3,30.6
"2022-08-19",133,26.4,21.4,29.7
"2022-08-20",133,27,24.9,31.1
"2022-08-21",133,27.5,23.6,32.8
"2022-08-22",133,27.3,23.6,31.7
"2022-08-23",133,23.8,22.3,26
"2022-08-24",133,22.7,20.6,25
"2022-08-25",133,22.3,18.8,28.5
"2022-08-26",133,22.9,16.7,29.1
"2022-08-27",133,21.6,17.2,26.5
"2022-08-28",133,22.1,15.4,28.2
"2022-08-29",133,19.6,17.7,21.8
"2022-08-30",133,19.1,17.4,20.6
"2022-08-31",133,21,19.7,23.3
"2022-09-01",133,22.4,19.7,27.8
"2022-09-02",133,22.6,18.1,27.3
"2022-09-03",133,23.4,20.7,26.7
"2022-09-04",133,24.5,21.4,28.1
"2022-09-05",133,22.6,18.7,25.4
"2022-09-06",133,20.2,17.1,25.8
"2022-09-07",133,20.9,15.8,28.2
"2022-09-08",133,22,14.3,29.9
"2022-09-09",133,22.9,17.4,29.2
"2022-09-10",133,22,18,26.3
"2022-09-11",133,24,20,28.9
"2022-09-12",133,22.9,20.5,26
"2022-09-13",133,24.5,21.2,28.5
"2022-09-14",133,25,22.2,29.1
"2022-09-15",133,25.2,21.6,29.8
"2022-09-16",133,25.4,21.1,31.3
"2022-09-17",133,27.2,23.2,33
"2022-09-18",133,27.3,23.8,33.1
"2022-09-19",133,24.5,17.7,29.6
"2022-09-20",133,19.2,15.1,24.7
"2022-09-21",133,18.8,12.9,24.7
"2022-09-22",133,18.4,12.9,24
"2022-09-23",133,17.7,12.6,24.5
"2022-09-24",133,17.5,11.3,23.8
"2022-09-25",133,18.5,14.4,24.8
"2022-09-26",133,18.7,14.9,25.8
"2022-09-27",133,19.4,12.8,28.1
"2022-09-28",133,19.2,14.2,25.4
"2022-09-29",133,18.8,14,26.4
"2022-09-30",133,19.4,13,29.2
"2022-10-01",133,20.1,13.1,28.3
"2022-10-02",133,21.1,16.9,27.6
"2022-10-03",133,22.8,18.1,26.3
"2022-10-04",133,20,15.3,24.1
"2022-10-05",133,16.2,13.7,21.9
"2022-10-06",133,16.5,14,21.4
"2022-10-07",133,15.8,12.4,20.5
"2022-10-08",133,15.8,9.7,22
"2022-10-09",133,13,10.9,14.8
"2022-10-10",133,10.9,8.6,14
"2022-10-11",133,12,8.4,18.6
"2022-10-12",133,13,5.6,21.7
"2022-10-13",133,15.1,9,22.9
"2022-10-14",133,15.9,10.4,23.1
"2022-10-15",133,18.2,13.2,24.9
"2022-10-16",133,17.7,14.6,23.3
"2022-10-17",133,12.4,6.5,16.8
"2022-10-18",133,8.8,4.1,15.4
"2022-10-19",133,9.2,2.2,17.4
"2022-10-20",133,11,3.2,19.8
"2022-10-21",133,12.2,6.2,18.8
"2022-10-22",133,14.4,8.3,22
"2022-10-23",133,13.1,8.3,19.6
"2022-10-24",133,9.7,5.6,15.9
"2022-10-25",133,9.6,2.5,17.2
"2022-10-26",133,11.1,4,18.7
"2022-10-27",133,12.5,6.3,20.5
"2022-10-28",133,13.2,7.5,21.2
"2022-10-29",133,13.5,7.8,21.4
"2022-10-30",133,13.9,7.8,21.5
"2022-10-31",133,14.1,9.4,21
"2022-11-01",133,12.5,8.1,19.4
"2022-11-02",133,10.9,5,19.8
"2022-11-03",133,9.4,3.8,16.7
"2022-11-04",133,5.9,1.6,11.7
"2022-11-05",133,6.1,-1.4,14.3
"2022-11-06",133,8,0.9,16.6
"2022-11-07",133,9.6,2.4,17.4
