날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"2022-01-01",전국,-3.7,-9.9,3.4
"2022-01-02",전국,-0.8,-6.7,6.1
"2022-01-03",전국,-1.5,-7.8,4.8
"2022-01-04",전국,0,-5,5.2
"2022-01-05",전국,-0.8,-6,4
"2022-01-06",전국,0,-5,6.2
"2022-01-07",전국,-1.6,-7.7,6.7
"2022-01-08",전국,0.2,-7,6.8
"2022-01-09",전국,1.6,-2.9,7.1
"2022-01-10",전국,1.1,-5,7.5
"2022-01-11",전국,-2.9,-6.9,2
"2022-01-12",전국,-4.8,-9.7,0.3
"2022-01-13",전국,-4.4,-7.8,-0.6
"2022-01-14",전국,-4,-9.7,2.7
"2022-01-15",전국,-0.1,-6.1,6.2
"2022-01-16",전국,0.6,-4.4,5
"2022-01-17",전국,-2.6,-7.2,2.3
"2022-01-18",전국,-4.2,-9.4,1.8
"2022-01-19",전국,-3,-9.3,3.3
"2022-01-20",전국,-3.6,-8.8,3
"2022-01-21",전국,-2.5,-9.5,5.8
"2022-01-22",전국,1.6,-5,8.4
"2022-01-23",전국,4.1,-0.4,9.8
"2022-01-24",전국,3.8,-0.8,7.5
"2022-01-25",전국,3.2,0.8,5.5
"2022-01-26",전국,2.3,-1.5,7.1
"2022-01-27",전국,0.8,-3.7,6.8
"2022-01-28",전국,-0.4,-4.7,5
"2022-01-29",전국,-1.1,-4.8,4
"2022-01-30",전국,-1.6,-6.9,4.7
"2022-01-31",전국,-0.8,-7.8,6.2
"2022-02-01",전국,0.1,-3,3.1
"2022-02-02",전국,-1,-4.6,3.4
"2022-02-03",전국,-1.5,-5.9,3.8
"2022-02-04",전국,-2.6,-6.8,2.5
"2022-02-05",전국,-4.3,-8,-0.2
"2022-02-06",전국,-2.6,-8.4,3
"2022-02-07",전국,-1.7,-7.2,2.6
"2022-02-08",전국,-0.3,-5.8,6.3
"2022-02-09",전국,0.7,-6.8,8.1
"2022-02-10",전국,2.4,-2.4,8.7
"2022-02-11",전국,2,-5.2,10.1
"2022-02-12",전국,3.9,-2.1,11.4
"2022-02-13",전국,4.4,-0.4,10.7
"2022-02-14",전국,4,-1.6,10.7
"2022-02-15",전국,-1.8,-5.5,2.2
"2022-02-16",전국,-4.9,-7.5,-1.2
"2022-02-17",전국,-5.3,-10,0.2
"2022-02-18",전국,-1.3,-9.9,6.7
"2022-02-19",전국,0.9,-2.8,5.3
"2022-02-20",전국,-3.2,-6.4,0.8
"2022-02-21",전국,-1.2,-8.1,5.2
"2022-02-22",전국,-2,-6,2.5
"2022-02-23",전국,-3.7,-8,1.6
"2022-02-24",전국,-1.7,-9.1,5.2
"2022-02-25",전국,2.5,-5.3,9.9
"2022-02-26",전국,5.6,-1.1,11.9
"2022-02-27",전국,4.4,-1.5,10.6
"2022-02-28",전국,5.5,-2.2,13.2
"2022-03-01",전국,6.4,1.4,12.3
"2022-03-02",전국,3.7,-2.4,10.1
"2022-03-03",전국,5.3,-1.3,12.6
"2022-03-04",전국,7.8,-1.2,15.5
"2022-03-05",전국,4.4,0.2,9.4
"2022-03-06",전국,2.1,-3,8.2
"2022-03-07",전국,3.1,-3.7,10.5
"2022-03-08",전국,5.2,-2.4,13.4
"2022-03-09",전국,6.6,-0.9,15.4
"2022-03-10",전국,8.4,0.1,16.9
"2022-03-11",전국,10.9,3,18.3
"2022-03-12",전국,13.4,6.2,19.7
"2022-03-13",전국,12.8,10.2,15.7
"2022-03-14",전국,9.7,6.4,13.2
"2022-03-15",전국,8.5,2.7,15.8
"2022-03-16",전국,10.6,2.4,19.2
"2022-03-17",전국,8.9,6.4,12.1
"2022-03-18",전국,6.4,4.7,8.7
"2022-03-19",전국,3.7,1.7,6.4
"2022-03-20",전국,4.7,0.9,9.2
"2022-03-21",전국,5.6,-0.6,11.5
"2022-03-22",전국,6.6,1.2,12.6
"2022-03-23",전국,5.5,1.6,10.4
"2022-03-24",전국,7.7,1.1,14.4
"2022-03-25",전국,12,4.4,17.6
"2022-03-26",전국,11.7,8,16.1
"2022-03-27",전국,9.3,3.9,16.1
"2022-03-28",전국,7,0.2,13.8
"2022-03-29",전국,9.2,0.7,17.3
"2022-03-30",전국,11.5,3.7,18.5
"2022-03-31",전국,9.6,5.9,13.4
"2022-04-01",전국,7.9,2.7,13.9
"2022-04-02",전국,7.6,0.9,14.5
"2022-04-03",전국,8.6,0.7,16.5
"2022-04-04",전국,9.9,1.9,18.1
"2022-04-05",전국,10.7,2.1,18.2
"2022-04-06",전국,12,5.1,19.4
"2022-04-07",전국,11.7,6.1,18.3
"2022-04-08",전국,12.5,3,21.1
"2022-04-09",전국,16.9,8.6,24.8
"2022-04-10",전국,17.7,9.5,25.4
"2022-04-11",전국,18.6,11.8,25.4
"2022-04-12",전국,19,12.8,26.2
"2022-04-13",전국,12.4,9.5,16.8
"2022-04-14",전국,10.7,8.7,13.8
"2022-04-15",전국,11.4,6.7,17.8
"2022-04-16",전국,11.3,3.9,18.7
"2022-04-17",전국,12.8,4.1,20.8
"2022-04-18",전국,14.5,8.5,21.9
"2022-04-19",전국,14.4,6.5,22.6
"2022-04-20",전국,14.9,6.1,23.2
"2022-04-21",전국,13.4,7.6,19.3
"2022-04-22",전국,16.2,9.2,22.8
"2022-04-23",전국,16.8,11.6,23.5
"2022-04-24",전국,18.5,11.6,25.9
"2022-04-25",전국,19.3,13.5,25.6
"2022-04-26",전국,18.1,14.7,22.2
"2022-04-27",전국,15.8,10.5,21.8
"2022-04-28",전국,15.2,8.7,22.1
"2022-04-29",전국,11.5,8.8,15.1
"2022-04-30",전국,12.4,8.7,16.9
"2022-05-01",전국,12.8,6.8,18.7
"2022-05-02",전국,12.2,6.2,18.9
"2022-05-03",전국,13.1,4.6,20.9
"2022-05-04",전국,16.4,7.4,24.7
"2022-05-05",전국,17.5,9.2,25.3
"2022-05-06",전국,18.7,11,25.9
"2022-05-07",전국,17.1,11.9,23.4
"2022-05-08",전국,14.9,10.2,19.8
"2022-05-09",전국,15.6,10.3,22.2
"2022-05-10",전국,16.1,9,23.3
"2022-05-11",전국,18.4,12.8,24.1
"2022-05-12",전국,18.9,14.2,24.7
"2022-05-13",전국,16.2,12.7,20.2
"2022-05-14",전국,15.4,9.2,21.6
"2022-05-15",전국,14.7,8.9,20.9
