사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2023-03,1호선,0150,서울역,677,35,8460,8722,13265,53198,43763,112497,74004,237172,61817,161661,61592,78685,73218,72031,86298,79387,87046,77954,71499,72423,99912,78057,116950,79801,170173,95408,230044,99606,117255,68805,85484,47220,86714,41748,57235,28916,25208,14624,2352,3091,0,220,0,0,0,0,2023-04-03 09:45:30
2023-03,1호선,0151,시청,113,0,2396,4586,4034,24139,8529,75421,11367,210492,14225,93041,16499,44716,22017,44042,23030,42030,29558,42661,38498,35240,53346,32214,61934,30442,98564,29872,175362,27244,66784,14072,56776,9281,50856,8987,33048,6923,10441,4654,362,1076,2,27,0,1,0,0,2023-04-03 09:45:30
2023-03,1호선,0152,종각,89,1,3698,5315,4213,28842,6671,114672,11140,285466,13252,158014,18242,66935,27392,63432,33609,55449,43465,53389,55714,46058,69835,40688,83827,41641,153030,48205,237310,55172,103530,27028,87834,12337,94699,8556,70331,6363,30417,4000,1147,862,2,1,0,0,0,0,2023-04-03 09:45:30
2023-03,1호선,0153,종로3가,162,12,3819,2972,3838,12438,5610,27245,9700,76204,15890,71959,21647,62562,31343,72658,45211,75930,52145,69611,64928,60549,74911,50098,82318,46656,93726,44519,109562,46061,66250,23134,53518,11934,57784,9245,43026,7385,18618,4724,1510,2156,2,15,0,0,0,0,2023-04-03 09:45:30
2023-03,1호선,0154,종로5가,45,0,2033,4081,3187,15763,6502,43928,10619,106094,14462,68816,23948,63772,36415,68958,46970,65915,56490,59950,64426,56923,70612,46709,74774,43126,93317,38306,108028,36799,57618,20968,41218,10944,37904,8010,22913,6213,7559,3559,272,1077,0,1,0,0,0,0,2023-04-03 09:45:30
2023-03,1호선,0155,동대문,775,8,11503,2638,10255,7250,15728,12835,20970,22752,19240,23360,17839,24624,19142,27716,22906,27406,24571,25150,27441,24733,28484,23202,28789,21701,27604,21361,25619,22150,18406,21176,15625,14561,14941,12652,11914,11596,5370,8898,588,2612,1,247,0,0,0,0,2023-04-03 09:45:30
2023-03,1호선,0156,신설동,460,11,9074,2309,9800,8642,22348,25354,33819,60619,20962,35669,18102,22947,20709,19847,22465,19683,24282,20255,24327,19354,26414,20863,31961,22558,42390,25624,55155,32909,23088,23490,15756,15187,14221,14401,10049,12878,4378,9422,384,2110,0,5,1,2,0,0,2023-04-03 09:45:30
2023-03,1호선,0157,제기동,442,7,5492,2000,8689,8486,24377,20337,34956,40803,24936,34553,25800,39534,34361,47332,40119,52107,43541,54933,48626,51086,54702,43106,53280,37221,47645,30790,43495,30271,22410,20775,14398,13396,10461,12076,6457,10679,2504,7141,170,1309,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,1호선,0158,청량리(서울시립대입구),993,8,11265,3848,16294,23074,40847,18163,49664,38941,32688,37000,30210,37598,35897,42179,41648,45039,44134,48019,46199,48086,51821,47042,61086,44508,55594,44311,47037,51447,26424,33959,19426,20215,15880,19259,10042,16395,3973,9904,229,3684,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,1호선,0159,동묘앞,213,2,2916,1024,3653,5289,7749,10452,11678,24126,10251,17789,11611,22645,16040,31527,22594,34544,31411,39975,35501,35583,38495,29975,40992,21360,36353,16106,24791,12211,10862,8498,6273,5990,5727,5993,4098,6606,1544,4133,99,1587,1,299,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0201,시청,89,0,909,1680,2032,19373,5601,71492,9428,229115,12972,91045,18448,30342,24037,27860,23437,27965,28806,30055,34981,25894,43547,23988,53238,22891,101885,24115,179414,24014,63846,12549,48950,7991,44140,8187,28168,7606,10632,5223,1332,1650,0,81,1,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0202,을지로입구,94,0,2677,2876,3975,26504,11186,134019,20488,355132,28199,170000,34006,75555,41608,70693,45513,62309,56854,62524,64798,55741,77484,54375,92590,58638,170331,65853,297250,68641,131946,41627,114926,27827,82111,25174,62573,21835,25195,12371,3490,5152,1,1058,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0203,을지로3가,19,0,1127,1652,2763,18587,6189,74300,12956,190846,17952,77356,21198,34197,23422,28245,24370,26650,27039,29498,32063,26684,37219,24934,45156,27880,93820,33679,149966,39195,59576,23969,43885,14500,48033,12757,40388,11361,21990,7181,3443,2069,1,69,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0204,을지로4가,3,0,1056,1159,2010,12807,5451,36163,10994,85337,12775,43943,15090,26688,17647,26232,19331,23767,21584,22936,24999,21562,27620,19163,34797,18103,61678,18410,73216,18285,32179,12371,19525,8317,16029,8234,10987,7885,5166,5488,932,1842,1,57,0,0,0,0,2023-04-03 09:45:30
